,日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡
0,2020-02-18,江西省,933,310,1,宜春,106,30,0
0,2020-02-18,江西省,933,310,1,赣州,76,20,1
0,2020-02-18,江西省,933,310,1,抚州,72,28,0
0,2020-02-18,江西省,933,310,1,萍乡,33,6,0
0,2020-02-18,江西省,933,310,1,鹰潭,18,3,0
0,2020-02-18,江西省,933,310,1,吉安,22,10,0
0,2020-02-18,江西省,933,310,1,景德镇,6,3,0
0,2020-02-18,江西省,933,310,1,赣江新区,1,0,0
0,2020-02-18,浙江省,1172,514,0,温州,504,194,0
0,2020-02-18,浙江省,1172,514,0,宁波,156,68,0
0,2020-02-18,浙江省,1172,514,0,台州,146,64,0
0,2020-02-18,浙江省,1172,514,0,杭州,168,94,0
0,2020-02-18,浙江省,1172,514,0,嘉兴,43,14,0
0,2020-02-18,浙江省,1172,514,0,金华,55,30,0
0,2020-02-18,浙江省,1172,514,0,绍兴,42,19,0
0,2020-02-18,浙江省,1172,514,0,衢州,21,10,0
0,2020-02-18,浙江省,1172,514,0,丽水,17,11,0
0,2020-02-18,浙江省,1172,514,0,舟山,10,5,0
0,2020-02-18,浙江省,1172,514,0,湖州,10,5,0
0,2020-02-18,贵州省,146,66,1,贵阳,36,13,0
0,2020-02-18,贵州省,146,66,1,遵义,32,12,0
0,2020-02-18,贵州省,146,66,1,毕节,23,10,0
0,2020-02-18,贵州省,146,66,1,黔南州,17,7,0
0,2020-02-18,贵州省,146,66,1,黔东南州,10,4,0
0,2020-02-18,贵州省,146,66,1,六盘水,10,6,1
0,2020-02-18,贵州省,146,66,1,安顺,4,1,0
0,2020-02-18,贵州省,146,66,1,铜仁,10,9,0
0,2020-02-18,贵州省,146,66,1,黔西南州,4,4,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,乌鲁木齐,23,4,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,伊犁州,18,4,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第四师,10,0,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第九师,4,0,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,昌吉州,4,0,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,巴州,3,0,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第十二师,3,0,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,吐鲁番市,3,1,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第八师石河子市,4,1,1
0,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第六师五家渠市,2,0,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,兵团第七师,1,1,0
0,2020-02-18,新疆维吾尔自治区,76,12,1,阿克苏地区,1,1,0
0,2020-02-18,福建省,292,91,0,福州,71,26,0
0,2020-02-18,福建省,292,91,0,莆田,55,17,0
0,2020-02-18,福建省,292,91,0,泉州,46,13,0
0,2020-02-18,福建省,292,91,0,厦门,35,9,0
0,2020-02-18,福建省,292,91,0,宁德,25,6,0
0,2020-02-18,福建省,292,91,0,南平,20,7,0
0,2020-02-18,福建省,292,91,0,漳州,20,8,0
0,2020-02-18,福建省,292,91,0,三明,14,3,0
0,2020-02-18,福建省,292,91,0,龙岩,6,1,0
0,2020-02-18,福建省,292,91,0,待明确地区,0,1,0
0,2020-02-18,河北省,302,123,4,唐山,51,10,1
0,2020-02-18,河北省,302,123,4,沧州,48,18,2
0,2020-02-18,河北省,302,123,4,张家口,34,9,0
0,2020-02-18,河北省,302,123,4,邯郸,31,10,0
0,2020-02-18,河北省,302,123,4,石家庄,28,11,0
0,2020-02-18,河北省,302,123,4,廊坊,30,16,0
0,2020-02-18,河北省,302,123,4,邢台,23,10,1
0,2020-02-18,河北省,302,123,4,秦皇岛,10,3,0
0,2020-02-18,河北省,302,123,4,保定,32,26,0
0,2020-02-18,河北省,302,123,4,承德,7,4,0
0,2020-02-18,河北省,302,123,4,衡水,8,6,0
0,2020-02-18,重庆市,553,225,5,万州区,108,36,3
0,2020-02-18,重庆市,553,225,5,江北区,28,5,0
0,2020-02-18,重庆市,553,225,5,合川区,23,7,0
0,2020-02-18,重庆市,553,225,5,綦江区,23,7,0
0,2020-02-18,重庆市,553,225,5,潼南区,18,2,0
0,2020-02-18,重庆市,553,225,5,垫江县,20,6,0
0,2020-02-18,重庆市,553,225,5,奉节县,20,6,0
0,2020-02-18,重庆市,553,225,5,长寿区,21,9,0
0,2020-02-18,重庆市,553,225,5,南岸区,15,3,0
0,2020-02-18,重庆市,553,225,5,两江新区,17,7,0
0,2020-02-18,重庆市,553,225,5,云阳县,25,16,0
0,2020-02-18,重庆市,553,225,5,九龙坡区,20,10,1
0,2020-02-18,重庆市,553,225,5,忠县,20,11,0
0,2020-02-18,重庆市,553,225,5,渝北区,16,7,0
0,2020-02-18,重庆市,553,225,5,大足区,14,5,0
0,2020-02-18,重庆市,553,225,5,渝中区,20,12,0
0,2020-02-18,重庆市,553,225,5,石柱县,14,7,0
0,2020-02-18,重庆市,553,225,5,丰都县,10,3,0
0,2020-02-18,重庆市,553,225,5,沙坪坝区,8,1,0
0,2020-02-18,重庆市,553,225,5,开州区,20,13,1
0,2020-02-18,重庆市,553,225,5,铜梁区,9,3,0
0,2020-02-18,重庆市,553,225,5,巫山县,10,5,0
0,2020-02-18,重庆市,553,225,5,荣昌区,9,4,0
