,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
190,2020-02-18,青海省,18,14,0,海北州,0,0,0,3,2,0
191,2020-02-18,云南省,172,51,0,昆明,1,2,0,52,13,0
192,2020-02-18,云南省,172,51,0,昭通,0,0,0,25,2,0
193,2020-02-18,云南省,172,51,0,西双版纳,0,0,0,15,4,0
194,2020-02-18,云南省,172,51,0,玉溪,0,0,0,14,3,0
195,2020-02-18,云南省,172,51,0,曲靖,0,0,0,13,6,0
196,2020-02-18,云南省,172,51,0,大理州,0,0,0,13,6,0
197,2020-02-18,云南省,172,51,0,保山,0,0,0,9,2,0
198,2020-02-18,云南省,172,51,0,红河州,0,0,0,8,3,0
199,2020-02-18,云南省,172,51,0,德宏州,0,0,0,5,2,0
200,2020-02-18,云南省,172,51,0,普洱,0,0,0,4,1,0
201,2020-02-18,云南省,172,51,0,楚雄州,0,0,0,4,1,0
202,2020-02-18,云南省,172,51,0,文山州,0,0,0,2,0,0
203,2020-02-18,云南省,172,51,0,丽江,0,2,0,7,7,0
204,2020-02-18,云南省,172,51,0,临沧,0,0,0,1,1,0
205,2020-02-18,河南省,1257,514,19,信阳,4,0,0,266,84,2
206,2020-02-18,河南省,1257,514,19,南阳,1,0,0,155,65,2
207,2020-02-18,河南省,1257,514,19,郑州,3,0,0,154,76,0
208,2020-02-18,河南省,1257,514,19,驻马店,1,0,0,139,75,0
209,2020-02-18,河南省,1257,514,19,周口,1,0,0,76,32,0
210,2020-02-18,河南省,1257,514,19,商丘,0,0,0,91,46,3
211,2020-02-18,河南省,1257,514,19,新乡,0,0,0,57,21,2
212,2020-02-18,河南省,1257,514,19,平顶山,0,3,0,58,27,1
213,2020-02-18,河南省,1257,514,19,安阳,1,0,0,52,24,0
214,2020-02-18,河南省,1257,514,19,许昌,0,0,0,38,11,0
215,2020-02-18,河南省,1257,514,19,焦作,0,0,0,32,7,1
216,2020-02-18,河南省,1257,514,19,漯河,0,1,0,34,13,0
217,2020-02-18,河南省,1257,514,19,洛阳,0,0,0,31,11,0
218,2020-02-18,河南省,1257,514,19,开封,0,1,0,26,9,0
219,2020-02-18,河南省,1257,514,19,鹤壁,0,0,0,19,5,0
220,2020-02-18,河南省,1257,514,19,濮阳,0,0,0,17,4,0
